cluster_id,longitude,latitude
0,-73.63015633911016,-41.5884923038094
1,-73.55651559764118,-41.945586702768644
2,-72.83241096229376,-41.52729909157673
3,-71.50519208213743,-30.258403941726407
4,-73.36388863618363,-39.88748570613882
5,-73.20444061078717,-39.442854350808375
6,-73.46604333867758,-45.74063875076282
7,-73.27310923768486,-45.27714342891783
8,-73.93797110742248,-41.864231002836036
9,-73.7127965001637,-43.11109388076224
10,-73.72939988197606,-42.86142166403342
11,-73.43495235342426,-42.110023950995924
12,-73.79768059758719,-42.532448476986765
13,-73.63263224159473,-42.50669307316847
14,-73.6147798327681,-42.38075366212281
15,-73.77632755172031,-42.543340537663
16,-73.6801246600669,-42.55695919208555
17,-73.51578819760914,-42.430368663783945
18,-73.25834996970788,-42.27967546123024
19,-73.15702222408586,-41.7488736095097
20,-73.0778339719942,-41.8158912737823
21,-72.87138420838977,-41.51290700694401
22,-73.42726048958882,-38.74542237841227
23,-70.85186812450532,-27.088196087186112
24,-72.82611665893192,-45.47690973477063
25,-72.84203842196254,-45.464189475024384
26,-72.70198866035254,-44.55522950729784
27,-72.950347167081,-44.796683965804085
28,-73.6794715380566,-42.664559571608756
29,-73.3435112847252,-41.80612458331953
30,-73.15680526517774,-37.11019057591109
31,-73.5715501649101,-41.60691468569496
32,-72.73574170660494,-45.52959477520834
33,-72.70044936825333,-45.489610899389
34,-72.71411476500356,-45.504820034136294
35,-70.6072663924901,-23.469743241352592
36,-70.16537659524843,-20.471837421913474
37,-73.16848016794735,-36.77043308058086
38,-72.32734947294438,-41.50389193511898
39,-70.48178047519133,-23.095606926257734
40,-72.74347961233705,-41.54920765685963
41,-72.7616461587779,-42.88998989306275
42,-73.29688901435597,-42.31333882641061
43,-73.52049129037631,-42.502046474536385
44,-70.90815625016337,-27.134671250891582
45,-70.80328757369878,-26.956278739186285
46,-72.30572467773403,-41.49494720176329
47,-70.13763438092893,-20.303014461769237
48,-73.52525280615676,-41.88107088288397
49,-73.89920433520426,-41.789200522193134
50,-73.98722220809749,-41.85253660322429
51,-73.43253961578111,-42.53947925286718
52,-70.32435436361821,-18.534413998156346
53,-72.44541781655386,-42.01671034100209
54,-72.83010716346477,-41.88186875423642
55,-73.61413677515714,-41.81944128815949
56,-73.76668990510616,-41.90118862291092
57,-73.15596248815731,-42.30091771351509
58,-73.4452057175914,-42.326025982055505
59,-73.10020499609104,-41.83450837750173
60,-70.35179809579661,-18.570191358855215
61,-70.36038239526823,-18.652754234338953
62,-70.35164607503461,-18.55834466955276
63,-73.38821526931639,-39.89037704133708
64,-70.35302586894821,-18.588733247056158
65,-70.33650749956267,-18.525501969854325
66,-70.35414619372618,-18.619022471585446
67,-73.39117188788288,-39.87721669240409
68,-73.57790921835277,-39.95558360157832
69,-73.33257239787527,-39.9163546010442
70,-73.16755580600481,-39.449698034528396
71,-74.53599866234775,-45.67113519422926
72,-74.47056960564447,-45.70738190697628
73,-74.569023104959,-45.87479543505954
74,-74.45376074877076,-45.733566765084326
75,-74.48831847148412,-45.90635814839387
76,-73.63557158012898,-46.1738925086457
77,-73.52678608236636,-46.23303448723222
78,-73.61364919633397,-46.104848992351315
79,-73.94320168601985,-46.11822034055207
80,-74.29522204363809,-45.7455629419616
81,-74.19059050349826,-45.672370943163614
82,-74.1838879892492,-45.60671453295294
83,-74.22965001577509,-45.39658684793142
84,-73.78977004725115,-45.49683116230469
85,-73.86458342942342,-45.598553148452
86,-74.28168022261518,-45.75612262748145
87,-74.20201630162259,-45.74625129366267
88,-73.93385042470372,-45.83365522930326
89,-73.86684878147784,-45.678721381613414
90,-73.85733459374238,-45.62907792610501
91,-73.89878702526514,-45.7119024767322
92,-74.08063445152764,-45.762410826748926
93,-74.03881230425695,-45.71447746277698
94,-74.22839992247724,-45.81453926427754
95,-74.11848858525363,-45.744003854527975
96,-74.12100487788821,-45.77948967943329
97,-74.40241399205135,-45.84705971014691
98,-74.20465388538723,-45.57899717336093
99,-74.26694990269617,-45.485004409701446
100,-74.06748749978404,-45.392827054432416
