cluster_id,longitude,latitude
0,-73.63015634,-41.5884923
1,-73.5565156,-41.9455867
2,-72.83241096,-41.52729909
3,-71.50519208,-30.25840394
4,-73.36388864,-39.88748571
5,-73.20444061,-39.44285435
6,-73.46604334,-45.74063875
7,-73.27310924,-45.27714343
8,-73.93797111,-41.864231
9,-73.7127965,-43.11109388
10,-73.72939988,-42.86142166
11,-73.43495235,-42.11002395
12,-73.7976806,-42.53244848
13,-73.63263224,-42.50669307
14,-73.61477983,-42.38075366
15,-73.77632755,-42.54334054
16,-73.68012466,-42.55695919
17,-73.5157882,-42.43036866
18,-73.25834997,-42.27967546
19,-73.15702222,-41.74887361
20,-73.07783397,-41.81589127
21,-72.87138421,-41.51290701
22,-73.42726049,-38.74542238
23,-70.85186812,-27.08819609
24,-72.82611666,-45.47690973
25,-72.84203842,-45.46418948
26,-72.70198866,-44.55522951
27,-72.95034717,-44.79668397
28,-73.67947154,-42.66455957
29,-73.34351128,-41.80612458
30,-73.15680527,-37.11019058
31,-73.57155016,-41.60691469
32,-72.73574171,-45.52959478
33,-72.70044937,-45.4896109
34,-72.71411477,-45.50482003
35,-70.60726639,-23.46974324
36,-70.1653766,-20.47183742
37,-73.16848017,-36.77043308
38,-72.32734947,-41.50389194
39,-70.48178048,-23.09560693
40,-72.74347961,-41.54920766
41,-72.76164616,-42.88998989
42,-73.29688901,-42.31333883
43,-73.52049129,-42.50204647
44,-70.90815625,-27.13467125
45,-70.80328757,-26.95627874
46,-72.30572468,-41.4949472
47,-70.13763438,-20.30301446
48,-73.52525281,-41.88107088
49,-73.89920434,-41.78920052
50,-73.98722221,-41.8525366
51,-73.43253962,-42.53947925
52,-70.32435436,-18.534414
53,-72.44541782,-42.01671034
54,-72.83010716,-41.88186875
55,-73.61413678,-41.81944129
56,-73.76668991,-41.90118862
57,-73.15596249,-42.30091771
58,-73.44520572,-42.32602598
59,-73.100205,-41.83450838
60,-70.3517981,-18.57019136
61,-70.3603824,-18.65275423
62,-70.35164608,-18.55834467
63,-73.38821527,-39.89037704
64,-70.35302587,-18.58873325
65,-70.3365075,-18.52550197
66,-70.35414619,-18.61902247
67,-73.39117189,-39.87721669
68,-73.57790922,-39.9555836
69,-73.3325724,-39.9163546
70,-73.16755581,-39.44969803
71,-74.53599866,-45.67113519
72,-74.47056961,-45.70738191
73,-74.5690231,-45.87479544
74,-74.45376075,-45.73356677
75,-74.48831847,-45.90635815
76,-73.63557158,-46.17389251
77,-73.52678608,-46.23303449
78,-73.6136492,-46.10484899
79,-73.94320169,-46.11822034
80,-74.29522204,-45.74556294
81,-74.1905905,-45.67237094
82,-74.18388799,-45.60671453
83,-74.22965002,-45.39658685
84,-73.78977005,-45.49683116
85,-73.86458343,-45.59855315
86,-74.28168022,-45.75612263
87,-74.2020163,-45.74625129
88,-73.93385042,-45.83365523
89,-73.86684878,-45.67872138
90,-73.85733459,-45.62907793
91,-73.89878703,-45.71190248
92,-74.08063445,-45.76241083
93,-74.0388123,-45.71447746
94,-74.22839992,-45.81453926
95,-74.11848859,-45.74400385
96,-74.12100488,-45.77948968
97,-74.40241399,-45.84705971
98,-74.20465389,-45.57899717
99,-74.2669499,-45.48500441
100,-74.0674875,-45.39282705
